Stock,AsOf,TargetPosition,Recommendation,TradeNow,LastSignal,Score,AvgVolume,DollarVolume
XBRANE.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,451.665,117193.22514071295,1200996.18823018
META.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,354.094,8258044.579737335,2543477.7167770006
FREEM.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,346.823,575811.6923076923,794620.1326389312
ORTIN.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,333.098,135144.1726078799,79735.05829435217
KLAR.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,313.487,753027.5966228893,623506.8568261116
RESP.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,273.067,12603.401500938086,19913.37491236149
GREAT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,267.561,7731.180112570357,103597.81055923161
MINEST.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,249.943,750840.5478424015,406204.74282725534
VPLAY-A.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,237.881,176.7560975609756,424.2146510031165
QLINEA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,237.215,13306.544090056284,311240.0581447465
MIDS.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,233.587,784620.928705441,733620.5702102693
GBK.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,229.456,125214.73545966229,164031.29628731296
DMXSE-SDB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,223.99,266073.58208955225,724651.4043733611
ANOT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,220.749,1911271.7485928705,69188.04080781866
CI.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,206.543,1445364.3996247654,190788.09971666386
ZZ-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,167.443,88495.74108818012,11592942.082551595
HILB-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,166.568,256148.4484052533,1536890.6904315199
DICOT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,166.244,10316985.435272045,3146680.6315508042
VICO.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,163.974,489752.6003752345,5240352.7306021135
GRANGX.ST,2026-02-18 00:00:00+01:00,0,Hold,False,0,160.502,20750.615384615383,237802.05309926544
CRNO-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,158.592,859153.1707317074,5515763.421645747
ADDV-A.ST,2026-02-18 00:00:00+01:00,0,Hold,False,0,157.008,29501.66416510319,50742.863208026865
MVIR.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,151.461,827947.2195121951,1208802.972071485
STW.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,148.938,14141.425891181989,360606.3602251407
IBT-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,145.142,23170.09756097561,1290574.451823723
NELLY.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,145.025,105273.32833020638,6674329.176769435
DMYD-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,139.889,336320.13320825517,5562735.311174818
TENEO.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,135.862,677131.0281425891,246475.6892392433
SNM.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,135.066,4430528.739212007,6645793.108818011
IRLAB-A.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,131.563,105044.5947467167,179836.3475086973
INTRUM.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,128.901,1129897.7054409005,50630717.73248512
FG.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,128.65,125921.77298311445,2896200.7786116325
ABSO.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,124.596,2630.046904315197,485243.6538461539
ORT-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,123.041,31759.44090056285,412872.73170731706
IVACC.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,121.949,404912.3095684803,287892.66233628296
NEOLA.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,119.305,28198.484052532833,21205.2592814161
MODTX.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,118.056,137982.56097560975,42222.66286899404
CANDLE-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,114.552,8437.405253283303,320621.3996247655
K33.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,114.335,71027651.93962264,1491580.6706225802
WRV.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,111.75,13364.903732809431,49984.74008816492
NANEXA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,111.207,641063.7467166979,2307829.4270435097
SIVE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,110.588,1164185.8011257036,3608975.8724642713
SSAB-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,110.188,3635484.4033771106,276296814.6566604
ATIC.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,108.288,68905.10131332083,1722627.532833021
VER.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,107.214,555264.8226950355,7607127.965013626
LGOLD-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,106.445,7575.697604790419,1700744.112275449
SSAB-A.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,102.871,1126128.4709193246,87117299.19765322
CLAS-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,102.673,96563.20825515948,35419383.609242395
ORX.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,102.282,38533.19699812383,1013423.0516521605
DOM.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,101.358,675229.651031895,27373810.67102423
EGTX.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,100.216,647604.1257035647,3037263.386605924
NETEL.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,99.905,131759.08067542213,512542.83764946973
HNSA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,99.757,316597.3283302064,11030250.96733331
MOBA.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,99.591,48110.5234521576,55808.205598640845
MOB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,99.264,364782.0994371482,3286686.799420702
AERO.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,98.747,42084.560975609755,65651.91271385332
BEO-SDB.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,98.677,81265.33395872421,90854.64584587484
SAND.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,96.896,1954979.0825515948,742501031.688605
MAHA-A.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,95.305,364417.68292682926,3746213.683177785
MNTC.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,94.186,14801.551594746717,184279.31453142472
LCLEAN.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,93.503,691212.5084427767,37325.47642409763
8TRA.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,92.525,131480.5966228893,51356321.84339444
BILI-A.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,88.984,86164.24390243902,11244433.829268292
HFRTO-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,88.892,3120.206896551724,96726.41379310345
PCELL.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,86.767,236492.0243902439,4989981.804848694
ENEA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,86.624,36673.06754221388,2127037.917448405
INCOAX.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,85.691,78265.09005628517,42263.150309780634
SEYE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,85.547,209021.98686679173,12259139.848679576
FERRO.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,83.933,150606.75422138837,453326.32877008105
OBAB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,83.665,8171.939962476547,127482.26653198185
OBSE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,80.822,1352246.8255159475,540898.7382663982
HEIM-PREF.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,79.855,77583.79737335835,1683568.4621936162
SUMMAS.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,78.086,29051.502857142856,380574.69851084024
ITAB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,77.16,254986.79362101314,3794203.5182615984
RVRC.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,76.573,312698.1350844278,20403553.31425891
ACOU.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,76.167,31915.91181988743,88726.23394616549
VOLCAR-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,75.179,5995058.504690431,153173740.22097385
ORRON.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,72.936,839270.789868668,5308387.585841126
G5EN.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,70.223,26589.816135084428,1568799.1519699811
ICO.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,69.838,57214.81613508443,65224.88957553174
